Word,Time_s,Intensity_dB
your,0.483851,66.388757
your,0.496159,69.866040
your,0.508467,73.336709
your,0.520774,76.273517
your,0.533082,78.024661
your,0.545390,78.415918
your,0.557698,78.110756
your,0.570005,77.598471
your,0.582313,76.831549
your,0.594621,76.341580
your,0.606928,76.405138
your,0.619236,76.629942
your,0.631544,76.504088
your,0.643851,76.126918
your,0.656159,75.341475
your,0.668467,73.345307
your,0.680774,69.748023
your,0.693082,67.740281
your,0.705390,69.434742
good,0.717698,72.936146
good,0.730005,77.327766
good,0.742313,80.188577
good,0.754621,81.396743
good,0.766928,81.508996
good,0.779236,81.198579
good,0.791544,81.151708
good,0.803851,81.757202
good,0.816159,82.855635
good,0.828467,83.573150
good,0.840774,83.304241
good,0.853082,82.306431
good,0.865390,80.997307
good,0.877698,78.896044
good,0.890005,75.747769
good,0.902313,73.073800
good,0.914621,72.090620
good,0.926928,72.143290
good,0.939236,72.249048
good,0.951544,72.557620
good,0.963851,72.614995
good,0.976159,72.175092
good,0.988467,72.288720
good,1.000774,72.556279
pants,1.013082,71.800807
pants,1.025390,70.350854
pants,1.037698,68.554657
pants,1.050005,66.175014
pants,1.062313,66.901498
pants,1.074621,71.746803
pants,1.086928,76.457381
pants,1.099236,79.287941
pants,1.111544,80.402861
pants,1.123851,80.423034
pants,1.136159,79.879487
pants,1.148467,79.324337
pants,1.160774,79.372115
pants,1.173082,79.919558
pants,1.185390,80.361724
pants,1.197698,80.413982
pants,1.210005,80.099200
pants,1.222313,79.515256
pants,1.234621,78.938620
pants,1.246928,78.664321
pants,1.259236,78.187697
pants,1.271544,76.790372
pants,1.283851,74.701081
pants,1.296159,72.957054
pants,1.308467,72.341923
pants,1.320774,72.397172
pants,1.333082,72.347808
pants,1.345390,72.156859
pants,1.357698,72.275415
pants,1.370005,72.195372
pants,1.382313,71.126167
pants,1.394621,69.738702
pants,1.406928,69.980803
pants,1.419236,70.696120
pants,1.431544,70.533700
look,1.443851,71.208226
look,1.456159,72.888690
look,1.468467,73.364016
look,1.480774,72.465160
look,1.493082,70.832078
look,1.505390,69.004474
look,1.517698,69.133974
look,1.530005,72.309740
look,1.542313,75.016280
look,1.554621,76.037124
look,1.566928,76.148365
look,1.579236,76.292416
look,1.591544,76.234720
look,1.603851,75.562627
look,1.616159,74.389468
look,1.628467,72.984776
look,1.640774,72.220460
look,1.653082,72.869512
look,1.665390,74.032782
look,1.677698,74.222163
look,1.690005,73.267102
look,1.702313,72.097524
look,1.714621,71.508939
look,1.726928,70.750670
look,1.739236,69.209935
look,1.751544,67.818392
look,1.763851,67.380542
look,1.776159,66.672313
great,1.788467,66.248620
great,1.800774,67.390585
great,1.813082,69.314060
great,1.825390,70.161327
great,1.837698,70.478165
great,1.850005,71.640263
great,1.862313,73.563704
great,1.874621,75.886730
great,1.886928,77.414514
great,1.899236,77.876145
great,1.911544,77.949421
great,1.923851,77.861848
great,1.936159,77.766710
great,1.948467,77.574249
great,1.960774,76.958751
great,1.973082,76.194140
great,1.985390,75.815996
great,1.997698,76.025379
great,2.010005,76.197412
great,2.022313,76.216631
great,2.034621,76.352586
great,2.046928,76.328783
great,2.059236,76.312317
great,2.071544,76.306573
great,2.083851,75.701790
great,2.096159,73.967446
great,2.108467,71.930524
great,2.120774,70.655053
great,2.133082,69.347228
great,2.145390,68.078472
great,2.157698,67.404636
great,2.170005,65.907818
great,2.182313,64.584774
great,2.194621,65.883391
great,2.206928,68.218346
great,2.219236,70.218580
great,2.231544,71.914747
great,2.243851,73.074021
great,2.256159,73.460046
great,2.268467,74.175133
great,2.280774,74.603237
great,2.293082,73.760072
great,2.305390,72.804811
great,2.317698,71.806835
great,2.330005,69.582588
great,2.342313,68.059281
great,2.354621,67.439737